,Rank,Team,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Top Team Scorer,Latitude,Longitude,Region,Year,ISO_Code,Manager,Gender,Nationality,Flag,Team_with_Flag
67,Round of 16,Colombia,4.0,1.0,1.0,2.0,4.0,5.0,-1.0,4.0,,,,,"Daniela Montoya, Lady Andrade... - 1",4.5709,-74.2973,CONMEBOL (South America),2015,COL,Fabián Taborda,Male,Colombia,🇨🇴,Colombia 🇨🇴
66,Round of 16,Cameroon,4.0,2.0,0.0,2.0,9.0,4.0,5.0,6.0,,,,,Gaëlle Enganamouit - 3,7.3697,12.3547,CAF (Africa),2015,CMR,Enow Ngachu,Male,Cameroon,🇨🇲,Cameroon 🇨🇲
65,Round of 16,Norway,4.0,2.0,1.0,1.0,9.0,4.0,5.0,7.0,,,,,Ada Hegerberg - 3,60.472,8.4689,UEFA (Europe),2015,NOR,Even Pellerud,Male,Norway,🇳🇴,Norway 🇳🇴
64,Round of 16,Brazil,4.0,3.0,0.0,1.0,4.0,1.0,3.0,9.0,,,,,"Formiga, Marta... - 1",-14.235,-51.9253,CONMEBOL (South America),2015,BRA,Vadão,Male,Brazil,🇧🇷,Brazil 🇧🇷
55,Group Stage,Thailand,3.0,0.0,0.0,3.0,1.0,20.0,-19.0,0.0,0.9,15.0,-14.0,-4.68,Kanjana Sungngoen - 1,15.87,100.9925,AFC (Asia),2019,THA,Noengruthai Sratongwian,Female,Thailand,🇹🇭,Thailand 🇹🇭
54,Group Stage,Jamaica,3.0,0.0,0.0,3.0,1.0,12.0,-11.0,0.0,2.3,9.2,-6.8,-2.28,Havana Solaun - 1,18.1096,-77.2975,CONCACAF (North and Central America),2019,JAM,Hue Menzies,Male,Jamaica,🇯🇲,Jamaica 🇯🇲
53,Group Stage,South Africa,3.0,0.0,0.0,3.0,1.0,8.0,-7.0,0.0,1.2,9.8,-8.5,-2.84,Thembi Kgatlana - 1,-30.5595,22.9375,CAF (Africa),2019,ZAF,Desiree Ellis,Female,South Africa,🇿🇦,South Africa 🇿🇦
52,Group Stage,Korea Republic,3.0,0.0,0.0,3.0,1.0,8.0,-7.0,0.0,3.5,4.9,-1.4,-0.46,Yeo Min-ji - 1,35.9078,127.7669,AFC (Asia),2019,KOR,Yoon Deok-yeo,Male,South Korea,🇰🇷,Korea Republic 🇰🇷
51,Group Stage,New Zealand,3.0,0.0,0.0,3.0,1.0,5.0,-4.0,0.0,1.3,9.3,-8.0,-2.65,,-40.9006,174.886,OFC (Oceania),2019,NZL,Tom Sermanni,Male,Scotland,🇳🇿,New Zealand 🇳🇿
50,Group Stage,Scotland,3.0,0.0,1.0,2.0,5.0,7.0,-2.0,1.0,4.0,6.3,-2.3,-0.76,"Erin Cuthbert, Jennifer Beattie... - 1",56.4907,-4.2026,UEFA (Europe),2019,GBR,Shelley Kerr,Female,Scotland,🏴󠁧󠁢󠁳󠁣󠁴󠁿,Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿
49,Group Stage,Argentina,3.0,0.0,2.0,1.0,3.0,4.0,-1.0,2.0,1.9,6.0,-4.1,-1.38,"Florencia Bonsegundo, Milagros Menéndez - 1",-38.4161,-63.6167,CONMEBOL (South America),2019,ARG,Carlos Borrello,Male,Argentina,🇦🇷,Argentina 🇦🇷
48,Group Stage,Chile,3.0,1.0,0.0,2.0,2.0,5.0,-3.0,3.0,2.9,6.5,-3.5,-1.18,María José Urrutia - 1,-35.6751,-71.543,CONMEBOL (South America),2019,CHL,Juan Letelier,Male,Chile,🇨🇱,Chile 🇨🇱
47,Round of 16,Nigeria,4.0,1.0,0.0,3.0,2.0,7.0,-5.0,3.0,2.2,5.9,-3.6,-0.91,Asisat Oshoala - 1,9.082,8.6753,CAF (Africa),2019,NGA,Thomas Dennerby,Male,Sweden,🇳🇬,Nigeria 🇳🇬
46,Round of 16,Cameroon,4.0,1.0,0.0,3.0,3.0,8.0,-5.0,3.0,5.2,5.6,-0.3,-0.09,Ajara Nchout - 2,7.3697,12.3547,CAF (Africa),2019,CMR,Alain Djeumfa,Male,Cameroon,🇨🇲,Cameroon 🇨🇲
45,Round of 16,China,4.0,1.0,1.0,2.0,1.0,3.0,-2.0,4.0,2.9,4.1,-1.2,-0.31,Li Ying - 1,35.8617,104.1954,AFC (Asia),2019,CHN,Jia Xiuquan,Male,China,🇨🇳,China 🇨🇳
44,Round of 16,Japan,4.0,1.0,1.0,2.0,3.0,5.0,-2.0,4.0,5.6,4.6,1.0,0.26,"Mana Iwabuchi, Yui Hasegawa... - 1",36.2048,138.2529,AFC (Asia),2019,JPN,Asako Takemoto,Female,Japan,🇯🇵,Japan 🇯🇵
43,Round of 16,Spain,4.0,1.0,1.0,2.0,4.0,4.0,0.0,4.0,6.3,4.7,1.6,0.39,Jennifer Hermoso - 3,40.4637,-3.7492,UEFA (Europe),2019,ESP,Jorge Vilda,Male,Spain,🇪🇸,Spain 🇪🇸
42,Round of 16,Canada,4.0,2.0,0.0,2.0,4.0,3.0,1.0,6.0,7.5,3.6,3.9,0.96,"Kadeisha Buchanan, Jessie Fleming... - 1",56.1304,-106.3468,CONCACAF (North and Central America),2019,CAN,Kenneth Heiner-Møller,Male,Denmark,🇨🇦,Canada 🇨🇦
41,Round of 16,Brazil,4.0,2.0,0.0,2.0,7.0,5.0,2.0,6.0,8.0,6.5,1.5,0.37,Cristiane - 4,-14.235,-51.9253,CONMEBOL (South America),2019,BRA,Vadão,Male,Brazil,🇧🇷,Brazil 🇧🇷
40,Round of 16,Australia,4.0,2.0,1.0,1.0,9.0,6.0,3.0,7.0,7.0,5.5,1.5,0.38,Sam Kerr - 5,-25.2744,133.7751,AFC (Asia),2019,AUS,Ante Milicic,Male,Australia,🇦🇺,Australia 🇦🇺
39,Quarter Final,Norway,5.0,2.0,1.0,2.0,7.0,7.0,0.0,7.0,6.1,10.1,-4.1,-0.82,Isabell Herlovsen - 2,60.472,8.4689,UEFA (Europe),2019,NOR,Martin Sjögren,Male,Sweden,🇳🇴,Norway 🇳🇴
38,Quarter Final,Italy,5.0,3.0,0.0,2.0,9.0,4.0,5.0,9.0,7.9,6.3,1.5,0.3,"Aurora Galli, Cristiana Girelli - 3",41.8719,12.5674,UEFA (Europe),2019,ITA,Milena Bertolini,Female,Italy,🇮🇹,Italy 🇮🇹
37,Quarter Final,France,5.0,4.0,0.0,1.0,10.0,4.0,6.0,12.0,11.1,2.9,8.2,1.63,Wendie Renard - 4,46.6034,1.8883,UEFA (Europe),2019,FRA,Corinne Diacre,Female,France,🇫🇷,France 🇫🇷
36,Quarter Final,Germany,5.0,4.0,0.0,1.0,10.0,2.0,8.0,12.0,11.2,4.9,6.3,1.26,Sara Däbritz - 3,51.1657,10.4515,UEFA (Europe),2019,DEU,Martina Voss-Tecklenburg,Female,Germany,🇩🇪,Germany 🇩🇪
35,4,England,7.0,5.0,0.0,2.0,13.0,5.0,8.0,15.0,15.3,5.6,9.8,1.4,Ellen White - 6,51.5074,-0.1278,UEFA (Europe),2019,GBR,Phil Neville,Male,England,🏴󠁧󠁢󠁥󠁮󠁧󠁿,England 🏴󠁧󠁢󠁥󠁮󠁧󠁿
34,3,Sweden,7.0,5.0,0.0,2.0,12.0,6.0,6.0,15.0,13.2,8.0,5.1,0.74,Kosovare Asllani - 3,60.1282,18.6435,UEFA (Europe),2019,SWE,Peter Gerhardsson,Male,Sweden,🇸🇪,Sweden 🇸🇪
33,2,Netherlands,7.0,6.0,0.0,1.0,11.0,5.0,6.0,18.0,10.7,9.2,1.6,0.22,Vivianne Miedema - 3,52.1326,5.2913,UEFA (Europe),2019,NLD,Sarina Wiegman,Female,Netherlands,🇳🇱,Netherlands 🇳🇱
32,1,USA,7.0,7.0,0.0,0.0,26.0,3.0,23.0,21.0,20.2,4.2,16.1,2.29,"Alex Morgan, Megan Rapinoe - 6",37.0902,-95.7129,CONCACAF (North and Central America),2019,USA,Jill Ellis,Female,USA,🇺🇸,USA 🇺🇸
23,Group Stage,Philippines,3.0,1.0,0.0,2.0,1.0,8.0,-7.0,3.0,0.7,8.9,-8.3,-2.75,Sarina Bolden - 1,14.5995,120.9842,AFC (Asia),2023,PHL,Alen Stajcic,Male,Australia,🇵🇭,Philippines 🇵🇭
22,Group Stage,China,3.0,1.0,0.0,2.0,2.0,7.0,-5.0,3.0,3.0,4.4,-1.4,-0.48,Wang Shuang - 2,39.9042,116.4074,AFC (Asia),2023,CHN,Shui Qingxia,Female,China,🇨🇳,China 🇨🇳
21,Group Stage,Italy,3.0,1.0,0.0,2.0,3.0,8.0,-5.0,3.0,4.2,5.2,-0.9,-0.3,Arianna Caruso - 2,41.9028,12.4964,UEFA (Europe),2023,ITA,Milena Bertolini,Female,Italy,🇮🇹,Italy 🇮🇹
20,Group Stage,Canada,3.0,1.0,1.0,1.0,2.0,5.0,-3.0,4.0,4.3,4.8,-0.4,-0.14,Adriana Leon - 1,45.4215,-75.6972,CONCACAF (North and Central America),2023,CAN,Bev Priestman,Female,England,🇨🇦,Canada 🇨🇦
19,Group Stage,New Zealand,3.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,4.3,1.7,2.6,0.87,Hannah Wilkinson - 1,-41.2865,174.7762,OFC (Oceania),2023,NZL,Jitka Klimková,Female,Czech Republic,🇳🇿,New Zealand 🇳🇿
18,Group Stage,Portugal,3.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,5.3,4.0,1.2,0.4,"Telma Encarnação, Kika Nazareth - 1",38.7223,-9.1393,UEFA (Europe),2023,PRT,Francisco Neto,Male,Portugal,🇵🇹,Portugal 🇵🇹
17,Group Stage,Brazil,3.0,1.0,1.0,1.0,5.0,2.0,3.0,4.0,7.4,1.6,5.8,1.93,Ary Borges - 3,-15.8267,-47.9218,CONMEBOL (South America),2023,BRA,Pia Sundhage,Female,Sweden,🇧🇷,Brazil 🇧🇷
16,Group Stage,Germany,3.0,1.0,1.0,1.0,8.0,3.0,5.0,4.0,5.9,1.6,4.2,1.42,Alexandra Popp - 4,52.52,13.405,UEFA (Europe),2023,DEU,Martina Voss-Tecklenburg,Female,Germany,🇩🇪,Germany 🇩🇪
15,Round of 16,South Africa,4.0,1.0,1.0,2.0,6.0,8.0,-2.0,4.0,6.0,7.8,-1.8,-0.45,"Thembi Kgatlana, Hildah Magaia - 2",-25.7461,28.1881,CAF (Africa),2023,ZAF,Desiree Ellis,Female,South Africa,🇿🇦,South Africa 🇿🇦
14,Round of 16,Norway,4.0,1.0,1.0,2.0,7.0,4.0,3.0,4.0,7.3,3.8,3.5,0.88,Sophie Román Haug - 3,59.9139,10.7522,UEFA (Europe),2023,NOR,Hege Riise,Female,Norway,🇳🇴,Norway 🇳🇴
13,Round of 16,Switzerland,4.0,1.0,2.0,1.0,3.0,5.0,-2.0,5.0,4.6,5.7,-1.2,-0.29,"Ramona Bachmann, Seraina Piubel - 1",46.9481,7.4474,UEFA (Europe),2023,CHE,Inka Grings,Female,Germany,🇨🇭,Switzerland 🇨🇭
12,Round of 16,Jamaica,4.0,1.0,2.0,1.0,1.0,1.0,0.0,5.0,2.7,5.0,-2.3,-0.58,Allyson Swaby - 1,18.1096,-77.2975,CONCACAF (North and Central America),2023,JAM,Lorne Donaldson,Male,Jamaica,🇯🇲,Jamaica 🇯🇲
11,Round of 16,Morocco,4.0,2.0,0.0,2.0,2.0,10.0,-8.0,6.0,2.8,6.5,-3.6,-0.91,"Anissa Lahmari, Ibtissam Jraïdi - 1",34.0209,-6.8417,CAF (Africa),2023,MAR,Reynald Pedros,Male,France,🇲🇦,Morocco 🇲🇦
10,Round of 16,Denmark,4.0,2.0,0.0,2.0,3.0,3.0,0.0,6.0,4.2,3.2,1.0,0.24,"Amalie Vangsgaard, Pernille Harder... - 1",55.6761,12.5683,UEFA (Europe),2023,DNK,Lars Søndergaard,Male,Denmark,🇩🇰,Denmark 🇩🇰
9,Round of 16,Nigeria,4.0,1.0,3.0,0.0,3.0,2.0,1.0,6.0,4.2,5.0,-0.8,-0.21,"Osinachi Ohale, Asisat Oshoala... - 1",9.0765,7.3986,CAF (Africa),2023,NGA,Randy Waldrum,Male,USA,🇳🇬,Nigeria 🇳🇬
8,Round of 16,USA,4.0,1.0,3.0,0.0,4.0,1.0,3.0,6.0,9.2,1.4,7.8,1.95,"Lindsey Horan, Sophia Smith - 2",38.9072,-77.0369,CONCACAF (North and Central America),2023,USA,Vlatko Andonovski,Male,USA,🇺🇸,USA 🇺🇸
7,Quarter Final,Colombia,5.0,3.0,0.0,2.0,6.0,4.0,2.0,9.0,4.0,6.1,-2.1,-0.43,"Catalina Usme, Linda Caicedo - 2",4.711,-74.0721,CONMEBOL (South America),2023,COL,Nelson Abadía,Male,Colombia,🇨🇴,Colombia 🇨🇴
6,Quarter Final,Netherlands,5.0,3.0,1.0,1.0,12.0,3.0,9.0,10.0,9.3,6.1,3.2,0.65,Jill Roord - 4,52.3676,4.9041,UEFA (Europe),2023,NLD,Andries Jonker,Male,Netherlands,🇳🇱,Netherlands 🇳🇱
5,Quarter Final,France,5.0,3.0,2.0,0.0,12.0,4.0,8.0,11.0,11.8,4.9,6.9,1.39,Kadidiatou Diani - 4,48.8566,2.3522,UEFA (Europe),2023,FRA,Hervé Renard,Male,France,🇫🇷,France 🇫🇷
4,Quarter Final,Japan,5.0,4.0,0.0,1.0,15.0,3.0,12.0,12.0,12.5,3.8,8.8,1.75,Hinata Miyazawa - 5,35.6895,139.6917,AFC (Asia),2023,JPN,Futoshi Ikeda,Male,Japan,🇯🇵,Japan 🇯🇵
3,4,Australia,7.0,3.0,1.0,3.0,10.0,8.0,2.0,10.0,11.4,8.3,3.0,0.43,Hayley Raso - 3,-35.2809,149.13,AFC (Asia),2023,AUS,Tony Gustavsson,Male,Sweden,🇦🇺,Australia 🇦🇺
2,3,Sweden,7.0,5.0,1.0,1.0,14.0,4.0,10.0,16.0,13.1,7.8,5.3,0.76,Amanda Ilestedt - 4,59.3293,18.0686,UEFA (Europe),2023,SWE,Peter Gerhardsson,Male,Sweden,🇸🇪,Sweden 🇸🇪
1,2,England,7.0,5.0,1.0,1.0,13.0,4.0,9.0,16.0,10.6,7.4,3.1,0.45,"Alessia Russo, Lauren Hemp... - 3",51.5098,-0.118,UEFA (Europe),2023,GBR,Sarina Wiegman,Female,Netherlands,🏴󠁧󠁢󠁥󠁮󠁧󠁿,England 🏴󠁧󠁢󠁥󠁮󠁧󠁿
0,1,Spain,7.0,6.0,0.0,1.0,18.0,7.0,11.0,18.0,20.4,4.0,16.4,2.35,"Aitana Bonmatí, Jennifer Hermoso... - 3",40.4168,-3.7038,UEFA (Europe),2023,ESP,Jorge Vilda,Male,Spain,🇪🇸,Spain 🇪🇸
31,Group Stage,Republic of Ireland,3.0,0.0,1.0,2.0,3.0,-2.0,1.0,2.6,4.9,4.9,-2.4,,Katie McCabe - 1,53.1424,-7.6921,UEFA (Europe),2023,IRL,Vera Pauw,Female,Netherlands,🇮🇪,Republic of Ireland 🇮🇪
30,Group Stage,Vietnam,3.0,0.0,0.0,3.0,0.0,12.0,-12.0,0.0,0.6,14.4,-13.7,-4.57,,21.0285,105.8542,AFC (Asia),2023,VNM,Mai Đức Chung,Male,Vietnam,🇻🇳,Vietnam 🇻🇳
29,Group Stage,Panama,3.0,0.0,0.0,3.0,3.0,11.0,-8.0,0.0,2.3,9.7,-7.5,-2.5,"Lineth Cedeño, Marta Cox... - 1",8.9824,-79.5199,CONCACAF (North and Central America),2023,PAN,Nacho Quintana,Male,Mexico,🇵🇦,Panama 🇵🇦
28,Group Stage,Costa Rica,3.0,0.0,0.0,3.0,1.0,8.0,-7.0,0.0,2.4,9.6,-7.2,-2.39,Melissa Herrera - 1,9.9281,-84.0907,CONCACAF (North and Central America),2023,CRI,Amelia Valverde,Female,Costa Rica,🇨🇷,Costa Rica 🇨🇷
27,Group Stage,Haiti,3.0,0.0,0.0,3.0,0.0,4.0,-4.0,0.0,2.1,6.1,-4.1,-1.36,,18.5944,-72.3074,CONCACAF (North and Central America),2023,HTI,Nicolas Delépine,Male,France,🇭🇹,Haiti 🇭🇹
26,Group Stage,Korea Republic,3.0,0.0,1.0,2.0,1.0,4.0,-3.0,1.0,2.8,4.7,-1.9,-0.65,Cho So-hyun - 1,37.5665,126.978,AFC (Asia),2023,KOR,Colin Bell,Male,England,🇰🇷,Korea Republic 🇰🇷
25,Group Stage,Argentina,3.0,0.0,1.0,2.0,2.0,5.0,-3.0,1.0,1.4,4.5,-3.1,-1.02,"Sophia Braun, Romina Núñez - 1",-34.6037,-58.3816,CONMEBOL (South America),2023,ARG,Germán Portanova,Male,Argentina,🇦🇷,Argentina 🇦🇷
24,Group Stage,Zambia,3.0,1.0,0.0,2.0,3.0,11.0,-8.0,3.0,2.8,13.0,-10.2,-3.39,"Lushomo Mweemba, Racheal Kundananji... - 1",-15.3875,28.3228,CAF (Africa),2023,ZMB,Bruce Mwape,Male,Zambia,🇿🇲,Zambia 🇿🇲
