,Rank,Team,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Top Team Scorer,Latitude,Longitude,Region,Year,ISO_Code,Manager,Gender,Nationality,Flag,Team_with_Flag
136,Group Stage,Italy,3.0,1.0,1.0,1.0,3.0,3.0,0.0,4.0,,,,,Patrizia Panico - 2,41.8719,12.5674,UEFA (Europe),1999,ITA,Carlo Facchin,Male,Italy,🇮🇹,Italy 🇮🇹
137,Group Stage,North Korea,3.0,1.0,0.0,2.0,4.0,6.0,-2.0,3.0,,,,,Jo Song-ok - 2,40.3399,127.5101,AFC (Asia),1999,PRK,Myong Dong-chan,Male,North Korea,🇰🇵,North Korea 🇰🇵
138,Group Stage,Australia,3.0,0.0,1.0,2.0,3.0,7.0,-4.0,1.0,,,,,Julie Murray - 2,-25.2744,133.7751,OFC (Oceania),1999,AUS,Greg Brown,Male,Australia,🇦🇺,Australia 🇦🇺
139,Group Stage,Canada,3.0,0.0,1.0,2.0,3.0,12.0,-9.0,1.0,,,,,Charmaine Hooper - 2,56.1304,-106.3468,CONCACAF (North and Central America),1999,CAN,Neil Turnbull,Male,Canada,🇨🇦,Canada 🇨🇦
140,Group Stage,Ghana,3.0,0.0,1.0,2.0,1.0,10.0,-9.0,1.0,,,,,Nana Gyamfuah - 1,7.9465,-1.0232,CAF (Africa),1999,GHA,Emmanuel Kwasi Afranie,Male,Ghana,🇬🇭,Ghana 🇬🇭
141,Group Stage,Japan,3.0,0.0,1.0,2.0,1.0,10.0,-9.0,1.0,,,,,Nami Otake - 1,36.2048,138.2529,AFC (Asia),1999,JPN,Satoshi Miyauchi,Male,Japan,🇯🇵,Japan 🇯🇵
142,Group Stage,Denmark,3.0,0.0,0.0,3.0,1.0,8.0,-7.0,0.0,,,,,Janni Johansen - 1,56.2639,9.5018,UEFA (Europe),1999,DNK,Poul Højmose,Male,Denmark,🇩🇰,Denmark 🇩🇰
143,Group Stage,Mexico,3.0,0.0,0.0,3.0,1.0,15.0,-14.0,0.0,,,,,Maribel Domínguez - 1,23.6345,-102.5528,CONCACAF (North and Central America),1999,MEX,Leonardo Cuéllar,Male,Mexico,🇲🇽,Mexico 🇲🇽
135,Quarter Final,Germany,4.0,1.0,2.0,1.0,12.0,7.0,5.0,5.0,,,,,"Inka Grings, Bettina Wiegmann - 3",51.1657,10.4515,UEFA (Europe),1999,DEU,Tina Theune-Meyer,Female,Germany,🇩🇪,Germany 🇩🇪
134,Quarter Final,Nigeria,4.0,2.0,0.0,2.0,8.0,12.0,-4.0,6.0,,,,,Nkiru Okosieme - 3,9.082,8.6753,CAF (Africa),1999,NGA,Ismaila Mabo,Male,Nigeria,🇳🇬,Nigeria 🇳🇬
133,Quarter Final,Sweden,4.0,2.0,0.0,2.0,7.0,6.0,1.0,6.0,,,,,"Victoria Sandell Svensson, Hanna Ljungberg - 2",60.1282,18.6435,UEFA (Europe),1999,SWE,Marika Domanski-Lyfors,Female,Sweden,🇸🇪,Sweden 🇸🇪
132,Quarter Final,Russia,4.0,2.0,0.0,2.0,10.0,5.0,5.0,6.0,,,,,"Olga Letyushova, Elena Fomina - 2",61.524,105.3188,UEFA (Europe),1999,RUS,Yuri Bystritsky,Male,Russia,🇷🇺,Russia 🇷🇺
131,4,Norway,6.0,4.0,1.0,1.0,16.0,8.0,8.0,13.0,,,,,Ann Kristin Aarønes - 4,60.472,8.4689,UEFA (Europe),1999,NOR,Per-Mathias Høgmo,Male,Norway,🇳🇴,Norway 🇳🇴
130,3,Brazil,6.0,3.0,2.0,1.0,16.0,9.0,7.0,11.0,,,,,Sissi - 7,-14.235,-51.9253,CONMEBOL (South America),1999,BRA,Wilson Egídio de Paula,Male,Brazil,🇧🇷,Brazil 🇧🇷
129,2,China,6.0,5.0,1.0,0.0,19.0,2.0,17.0,16.0,,,,,Sun Wen - 7,35.8617,104.1954,AFC (Asia),1999,CHN,Ma Yuanan,Male,China,🇨🇳,China 🇨🇳
128,1,USA,6.0,5.0,1.0,0.0,18.0,3.0,15.0,16.0,,,,,Tiffeny Milbrett - 3,37.0902,-95.7129,CONCACAF (North and Central America),1999,USA,Tony DiCicco,Male,USA,🇺🇸,USA 🇺🇸
127,Group Stage,Argentina,3.0,0.0,0.0,3.0,1.0,15.0,-14.0,0.0,,,,,Yanina Gaitán - 1,-38.4161,-63.6167,CONMEBOL (South America),2003,ARG,Carlos Borrello,Male,Argentine,🇦🇷,Argentina 🇦🇷
126,Group Stage,Nigeria,3.0,0.0,0.0,3.0,0.0,11.0,-11.0,0.0,,,,,,9.082,8.6753,CAF (Africa),2003,NGA,Samuel Okpodu,Male,Nigerian,🇳🇬,Nigeria 🇳🇬
125,Group Stage,Korea Republic,3.0,0.0,0.0,3.0,1.0,11.0,-10.0,0.0,,,,,Kim Jin-hee - 1,35.9078,127.7669,AFC (Asia),2003,KOR,An Jong-goan,Male,South Korean,🇰🇷,Korea Republic 🇰🇷
124,Group Stage,Ghana,3.0,0.0,1.0,2.0,3.0,5.0,-2.0,1.0,,,,,Alberta Sackey - 2,7.9465,-1.0232,CAF (Africa),2003,GHA,Oko Aryee,Male,Ghanaian,🇬🇭,Ghana 🇬🇭
123,Group Stage,Australia,3.0,1.0,0.0,2.0,2.0,5.0,-3.0,3.0,,,,,Heather Garriock - 2,-25.2744,133.7751,OFC (Oceania),2003,AUS,Adrian Santrac,Male,Australia,🇦🇺,Australia 🇦🇺
122,Group Stage,North Korea,3.0,1.0,0.0,2.0,3.0,4.0,-1.0,3.0,,,,,Jin Pyol-hui - 2,40.3399,127.5101,AFC (Asia),2003,PRK,Ri Song Gun,Male,North Korean,🇰🇵,North Korea 🇰🇵
121,Group Stage,Japan,3.0,1.0,0.0,2.0,7.0,6.0,1.0,3.0,,,,,"Mio Otani, Homare Sawa - 3",36.2048,138.2529,AFC (Asia),2003,JPN,Eiji Ueda,Male,Japanese,🇯🇵,Japan 🇯🇵
120,Group Stage,France,3.0,1.0,1.0,1.0,2.0,3.0,-1.0,4.0,,,,,Marinette Pichon - 2,46.6034,1.8883,UEFA (Europe),2003,FRA,Elisabeth Loisel,Female,French,🇫🇷,France 🇫🇷
119,Quarter Final,Russia,4.0,2.0,0.0,2.0,6.0,9.0,-3.0,6.0,,,,,"Natalia Barbashina, Marina Saenko... - 1",61.524,105.3188,UEFA (Europe),2003,RUS,Yuri Bystritsky,Male,Russian,🇷🇺,Russia 🇷🇺
118,Quarter Final,Norway,4.0,2.0,0.0,2.0,10.0,6.0,4.0,6.0,,,,,Dagny Mellgren - 3,60.472,8.4689,UEFA (Europe),2003,NOR,Åge Steen,Male,Norwegian,🇳🇴,Norway 🇳🇴
117,Quarter Final,China,4.0,2.0,1.0,1.0,3.0,2.0,1.0,7.0,,,,,Bai Jie - 2,35.8617,104.1954,AFC (Asia),2003,CHN,Ma Liangxing,Male,Chinese,🇨🇳,China 🇨🇳
116,Quarter Final,Brazil,4.0,2.0,1.0,1.0,9.0,4.0,5.0,7.0,,,,,Kátia - 4,-14.235,-51.9253,CONMEBOL (South America),2003,BRA,Paulo Gonçalves,Male,Brazilian,🇧🇷,Brazil 🇧🇷
115,4,Canada,6.0,3.0,1.0,3.0,10.0,10.0,0.0,10.0,,,,,"Christine Sinclair, Christine Latham - 3",56.1304,-106.3468,CONCACAF (North and Central America),2003,CAN,Even Pellerud,Male,Norwegian,🇨🇦,Canada 🇨🇦
114,3,USA,6.0,5.0,0.0,1.0,15.0,5.0,10.0,15.0,,,,,Abby Wambach - 3,37.0902,-95.7129,CONCACAF (North and Central America),2003,USA,April Heinrichs,Female,USA,🇺🇸,USA 🇺🇸
113,2,Sweden,6.0,4.0,0.0,2.0,10.0,7.0,3.0,12.0,,,,,"Victoria Sandell Svensson, Hanna Ljungberg - 3",60.1282,18.6435,UEFA (Europe),2003,SWE,Marika Domanski Lyfors,Female,Swedish,🇸🇪,Sweden 🇸🇪
112,1,Germany,6.0,6.0,0.0,0.0,25.0,4.0,21.0,18.0,,,,,Birgit Prinz - 7,51.1657,10.4515,UEFA (Europe),2003,DEU,Tina Theune-Meyer,Female,German,🇩🇪,Germany 🇩🇪
111,Group Stage,Argentina,3.0,0.0,0.0,3.0,1.0,18.0,-17.0,0.0,,,,,Eva Nadia González - 1,-38.4161,-63.6167,CONMEBOL (South America),2007,ARG,José Carlos Borrello,Male,Argentina,🇦🇷,Argentina 🇦🇷
