,home_team,away_team,home_score,away_score,home_manager,away_manager,Attendance,Venue,Round,Date,Score,Referee,Host,Year,home_goal,away_goal,home_penalty_goal,away_penalty_goal
284,Norway,Canada,7,1,,,16448,"Jack Kent Cooke Stadium, Landover",Group stage,1999-06-23,7–1,Tammy Ogston,United States,1999,Ann Kristin Aarønes · 8’|Ann Kristin Aarønes · 36’|Unni Lehn · 49’|Hege Riise · 54’|Linda Medalen · 68’|Marianne Pettersen · 76’|Solveig Gulbrandsen · 87’,Charmaine Hooper · 31’,,
285,Japan,Russia,0,5,,,17668,"Civic Stadium, Portland",Group stage,1999-06-23,0–5,Sandra Hunt,United States,1999,,Larisa Savina · 29’|Olga Letyushova · 52’|Natalia Karasseva · 58’|Natalia Barbashina · 80’|Olga Letyushova · 90’,,
286,China PR,Ghana,7,0,,,17668,"Civic Stadium, Portland",Group stage,1999-06-23,7–0,Elke Guenthner,United States,1999,Sun Wen · 9’|Jin Yan · 16’|Sun Wen · 21’|Sun Wen · 54’|Zhang Ouying · 82’|Zhang Ouying · 90+1’|Zhao Lihong · 90+2’,,,
287,Australia,Sweden,1,3,,,16448,"Jack Kent Cooke Stadium, Landover",Group stage,1999-06-23,1–3,Fatou Gaye,United States,1999,Julie Murray · 32’,Jane Törnqvist · 8’|Hanna Ljungberg · 21’|Hanna Ljungberg · 69’,,
288,Italy,Germany,1,1,,,17100,"Rose Bowl, Pasadena",Group stage,1999-06-20,1–1,Bola Abidoye,United States,1999,Patrizia Panico · 36’,,,Bettina Wiegmann (P) · 61’
289,Russia,Norway,1,2,,,14873,"Foxboro Stadium, Foxborough",Group stage,1999-06-20,1–2,Xiudi Zuo,United States,1999,Galina Komarova · 78’,Brit Sandaune · 28’|Marianne Pettersen · 68’,,
290,Australia,Ghana,1,1,,,14867,"Foxboro Stadium, Foxborough",Group stage,1999-06-20,1–1,Kari Seitz,United States,1999,Julie Murray · 74’,Nana Gyamfuah · 76’,,
291,Korea DPR,Nigeria,1,2,,,17100,"Rose Bowl, Pasadena",Group stage,1999-06-20,1–2,Katriina Elovirta,United States,1999,Jo Song-ok · 74’,Mercy Akide · 50’|Rita Nwadike · 79’,,
292,Denmark,United States,0,3,,,78972,"Giants Stadium, East Rutherford",Group stage,1999-06-19,0–3,Sonia Denoncourt,United States,1999,,Mia Hamm · 17’|Julie Foudy · 73’|Kristine Lilly · 89’,,
293,Brazil,Mexico,7,1,,,78972,"Giants Stadium, East Rutherford",Group stage,1999-06-19,7–1,Nicole Petignat,United States,1999,Pretinha · 3’|Pretinha · 12’|Sissi · 29’|Sissi · 42’|Sissi · 50’|Pretinha · 90+1’,Maribel Domínguez · 10’,Kátia (P) · 35’,
294,Sweden,China PR,1,2,,,23298,"Spartan Stadium, San Jose",Group stage,1999-06-19,1–2,Virginia Tovar,United States,1999,Kristin Bengtsson · 2’,Jin Yan · 17’|Liu Ailing · 69’,,
295,Japan,Canada,1,1,,,23298,"Spartan Stadium, San Jose",Group stage,1999-06-19,1–1,Maria Siqueira,United States,1999,Nami Otake · 64’,Silvana Burtini · 32’,,
296,Germany,Norway,0,2,,,17158,"Rasunda Stadium, Solna",Final,1995-06-18,0–2,Ingrid Jonsson,Sweden,1995,,Hege Riise · 37’|Marianne Pettersen · 40’,,
297,China PR,United States,0,2,,,4335,"Stromvallen, Gavle",Third-place match,1995-06-17,0–2,Sonia Denoncourt,Sweden,1995,,Tisha Venturini · 24’|Mia Hamm · 55’,,
298,United States,Norway,0,1,,,2893,"Arosvallen, Vasteras",Semi-finals,1995-06-15,0–1,Alain Hamer,Sweden,1995,,Ann Kristin Aarønes · 10’,,
299,Germany,China PR,1,0,,,3693,"Olympia Stadion, Helsingborg",Semi-finals,1995-06-15,1–0,Petros Mathabela,Sweden,1995,Bettina Wiegmann · 88’,,,
300,United States,Japan,4,0,,,3756,"Stromvallen, Gavle",Quarter-finals,1995-06-13,4–0,Eduardo Gamboa Martinez,Sweden,1995,Kristine Lilly · 8’|Kristine Lilly · 42’|Tiffeny Milbrett · 45’|Tisha Venturini · 80’,,,
301,Norway,Denmark,3,1,,,4655,"Tingvallen, Karlstad",Quarter-finals,1995-06-13,3–1,Pirom Anprasert,Sweden,1995,Gro Espeseth · 21’|Linda Medalen · 64’|Hege Riise · 85’,Gitte Krogh · 86’,,
302,Germany,England,3,0,,,2317,"Arosvallen, Vasteras",Quarter-finals,1995-06-13,3–0,Bente Skogvang,Sweden,1995,Martina Voss-Tecklenburg · 41’|Maren Meinert · 55’|Heidi Mohr · 82’,,,
303,Sweden,China PR,1,1,,,7537,"Olympia Stadion, Helsingborg",Quarter-finals,1995-06-13,(3) 1–1 (4),Sonia Denoncourt,Sweden,1995,Ulrika Kalte · 90+3’,Sun Qingmei · 29’,,
304,Norway,Canada,7,0,,,2715,"Stromvallen, Gavle",Group stage,1995-06-10,7–0,Maria Siqueira,Sweden,1995,Ann Kristin Aarønes · 4’|Hege Riise · 12’|Ann Kristin Aarønes · 21’|Marianne Pettersen · 71’|Randi Leinan · 84’|Marianne Pettersen · 89’|Ann Kristin Aarønes · 90+3’,,,
305,Nigeria,England,2,3,,,1843,"Tingvallen, Karlstad",Group stage,1995-06-10,2–3,Ingrid Jonsson,Sweden,1995,Adaku Okoroafor · 13’|Rita Nwadike · 74’,Karen Farley · 10’|Karen Walker · 27’|Karen Farley · 38’,,
306,China PR,Denmark,3,1,,,1619,"Arosvallen, Vasteras",Group stage,1995-06-10,3–1,Eduardo Gamboa Martinez,Sweden,1995,Shi Guihong · 21’|Sun Wen · 76’|Wei Haiying · 90’,Christina Bonde · 44’,,
307,United States,Australia,4,1,,,1150,"Olympia Stadion, Helsingborg",Group stage,1995-06-10,4–1,Pirom Anprasert,Sweden,1995,Julie Foudy · 69’|Joy Fawcett · 72’|Debbie Keller · 90+4’,Lisa Casagrande · 54’,Carla Overbeck (P) · 90+2’,
308,Sweden,Japan,2,0,,,7811,"Arosvallen, Vasteras",Group stage,1995-06-09,2–0,Petros Mathabela,Sweden,1995,Lena Videkull · 66’|Anneli Andelén · 88’,,,
309,Brazil,Germany,1,6,,,3203,"Tingvallen, Karlstad",Group stage,1995-06-09,1–6,Alain Hamer,Sweden,1995,Roseli de Belo · 19’,Birgit Prinz · 5’|Maren Meinert · 22’|Heidi Mohr · 78’|Heidi Mohr · 89’|Anouschka Bernhard · 90’,,Bettina Wiegmann (P) · 42’
310,United States,Denmark,2,0,,,2740,"Stromvallen, Gavle",Group stage,1995-06-08,2–0,Mamadouba Engage Camara,Sweden,1995,Kristine Lilly · 9’|Tiffeny Milbrett · 49’,,,
311,Norway,England,2,0,,,5520,"Tingvallen, Karlstad",Group stage,1995-06-08,2–0,Eduardo Gamboa Martinez,Sweden,1995,Tone Haugen · 7’|Hege Riise · 37’,,,
312,China PR,Australia,4,2,,,1500,"Arosvallen, Vasteras",Group stage,1995-06-08,4–2,Maria Siqueira,Sweden,1995,Zhou Yang · 23’|Shi Guihong · 54’|Shi Guihong · 78’|Liu Ailing · 90+3’,Angela Iannotta · 25’|Sunni Hughes · 89’,,
313,Nigeria,Canada,3,3,,,250,"Olympia Stadion, Helsingborg",Group stage,1995-06-08,3–3,Pirom Anprasert,Sweden,1995,Rita Nwadike · 26’|Patience Avre · 60’|Adaku Okoroafor · 77’,Silvana Burtini · 12’|Geri Donnelly · 20’|Silvana Burtini · 55’,,
314,Sweden,Germany,3,2,,,5855,"Olympia Stadion, Helsingborg",Group stage,1995-06-07,3–2,Linda May Black,Sweden,1995,Pia Sundhage · 80’|Malin Andersson · 86’,Ursula Lohn · 42’,Malin Andersson (P) · 65’,Bettina Wiegmann (P) · 9’
315,Brazil,Japan,1,2,,,2286,"Tingvallen, Karlstad",Group stage,1995-06-07,1–2,Catherine Leann Hepburn,Sweden,1995,Pretinha · 7’,Akemi Noda · 13’|Akemi Noda · 45’,,
316,United States,China PR,3,3,,,4635,"Stromvallen, Gavle",Group stage,1995-06-06,3–3,Ingrid Jonsson,Sweden,1995,Tisha Venturini · 22’|Tiffeny Milbrett · 34’|Mia Hamm · 51’,Wang Liping · 38’|Wei Haiying · 74’|Sun Wen · 79’,,
317,England,Canada,3,2,,,655,"Olympia Stadion, Helsingborg",Group stage,1995-06-06,3–2,Eva Oedlund,Sweden,1995,Gillian Coultard · 85’,Helen Stoumbos · 87’|Geri Donnelly · 90+1’,Gillian Coultard (P) · 51’|Marieanne Spacey (P) · 76’,
318,Norway,Nigeria,8,0,,,4344,"Tingvallen, Karlstad",Group stage,1995-06-06,8–0,Alain Hamer,Sweden,1995,Kristin Sandberg · 30’|Kristin Sandberg · 44’|Hege Riise · 49’|Ann Kristin Aarønes · 60’|Linda Medalen · 67’|Kristin Sandberg · 82’|Ann Kristin Aarønes · 90’,,Tina Svensson (P) · 76’,
319,Denmark,Australia,5,0,,,1500,"Arosvallen, Vasteras",Group stage,1995-06-06,5–0,Bente Skogvang,Sweden,1995,Gitte Krogh · 12’|Anne Dot Eggers Nielsen · 25’|Helle Jensen · 37’|Gitte Krogh · 48’|Christina Hansen · 86’,,,
320,Sweden,Brazil,0,1,,,14500,"Olympia Stadion, Helsingborg",Group stage,1995-06-05,0–1,Sonia Denoncourt,Sweden,1995,,Roseli de Belo · 37’,,
321,Germany,Japan,1,0,,,3824,"Tingvallen, Karlstad",Group stage,1995-06-05,1–0,Petros Mathabela,Sweden,1995,Silvia Neid · 23’,,,
322,United States,Norway,2,1,,,63000,"Tianhe Stadium, Guangzhou",Final,1991-11-30,2–1,Vadim Zhuk,China PR,1991,Michelle Akers · 20’|Michelle Akers · 78’,Linda Medalen · 29’,,
323,Sweden,Germany,4,0,,,20000,"Guangdong Provincial Stadium, Guangzhou",Third-place match,1991-11-29,4–0,Cláudia Vasconcelos,China PR,1991,Anneli Andelén · 7’|Pia Sundhage · 11’|Lena Videkull · 29’|Helen Nilsson · 43’,,,
324,Sweden,Norway,1,4,,,16000,"Ying Dong Stadium, Panyu",Semi-finals,1991-11-27,1–4,Jim McCluskey,China PR,1991,Lena Videkull · 6’,Linda Medalen · 41’|Agnete Carlsen · 67’|Linda Medalen · 77’,,Tina Svensson (P) · 39’
325,United States,Germany,5,2,,,20000,"Guangdong Provincial Stadium, Guangzhou",Semi-finals,1991-11-27,5–2,Salvador Imperatore Marcone,China PR,1991,Carin Jennings-Gabarra · 10’|Carin Jennings-Gabarra · 22’|Carin Jennings-Gabarra · 33’|April Heinrichs · 54’|April Heinrichs · 75’,Heidi Mohr · 34’|Bettina Wiegmann · 63’,,
326,Germany,Denmark,2,1,,,12000,"Zhongshan Stadium, Zhongshan",Quarter-finals,1991-11-24,2–1,Vassilios Nikakis,China PR,1991,Heidi Mohr · 98’,,Bettina Wiegmann (P) · 17’,Susan Mackensie (P) · 25’
327,United States,Chinese Taipei,7,0,,,12000,"New Plaza Stadium, Foshan",Quarter-finals,1991-11-24,7–0,Omer Yengo,China PR,1991,Michelle Akers · 8’|Michelle Akers · 29’|Michelle Akers · 33’|Julie Foudy · 38’|Michelle Akers · 48’|Joy Fawcett · 79’,,Michelle Akers (P) · 44’,
328,Norway,Italy,3,2,,,13000,"Jiangmen Stadium, Jiangmen",Quarter-finals,1991-11-24,3–2,Rafael Rodriguez,China PR,1991,Birthe Hegstad · 22’|Agnete Carlsen · 67’,Raffaella Salmaso · 31’|Rita Guarino · 80’,Tina Svensson (P) · 96’,
329,China PR,Sweden,0,1,,,55000,"Tianhe Stadium, Guangzhou",Quarter-finals,1991-11-24,0–1,John Toro Rendón,China PR,1991,,Pia Sundhage · 3’,,
330,Japan,United States,0,3,,,14000,"New Plaza Stadium, Foshan",Group stage,1991-11-21,0–3,John Toro Rendón,China PR,1991,,Michelle Akers · 20’|Michelle Akers · 37’|Wendy Gebauer · 39’,,
331,Brazil,Sweden,0,2,,,12000,"Ying Dong Stadium, Panyu",Group stage,1991-11-21,0–2,Lu Jun,China PR,1991,,Susanne Hedberg · 56’,,Pia Sundhage (P) · 42’
332,China PR,New Zealand,4,1,,,14000,"New Plaza Stadium, Foshan",Group stage,1991-11-21,4–1,Gyanu Shrestha,China PR,1991,Zhou Yang · 20’|Liu Ailing · 22’|Wu Weiying · 24’|Liu Ailing · 60’,Kim Nye · 65’,,
333,Chinese Taipei,Nigeria,2,0,,,14000,"Jiangmen Stadium, Jiangmen",Group stage,1991-11-21,2–0,Rafael Rodriguez,China PR,1991,Lin Mei-chun · 38’|Chou Tai-ying · 55’,,,
334,Norway,Denmark,2,1,,,15500,"Ying Dong Stadium, Panyu",Group stage,1991-11-21,2–1,Vadim Zhuk,China PR,1991,Linda Medalen · 56’,,Tina Svensson (P) · 14’,Annette Thychosen (P) · 54’
335,Italy,Germany,0,2,,,12000,"Zhongshan Stadium, Zhongshan",Group stage,1991-11-21,0–2,Jim McCluskey,China PR,1991,,Heidi Mohr · 67’|Britta Unsleber · 79’,,
336,Norway,New Zealand,4,0,,,12000,"Guangdong Provincial Stadium, Guangzhou",Group stage,1991-11-19,4–0,Salvador Imperatore Marcone,China PR,1991,Linda Medalen · 32’|Linda Medalen · 38’|Hege Riise · 49’,,,
337,Italy,Nigeria,1,0,,,12000,"Zhongshan Stadium, Zhongshan",Group stage,1991-11-19,1–0,Jim McCluskey,China PR,1991,Carolina Morace · 68’,,,
338,Chinese Taipei,Germany,0,3,,,10000,"Zhongshan Stadium, Zhongshan",Group stage,1991-11-19,0–3,Fathi Boucetta,China PR,1991,,Heidi Mohr · 21’|Heidi Mohr · 50’,,Bettina Wiegmann (P) · 10’
339,Brazil,United States,0,5,,,15500,"Ying Dong Stadium, Panyu",Group stage,1991-11-19,0–5,Vadim Zhuk,China PR,1991,,April Heinrichs · 23’|April Heinrichs · 35’|Carin Jennings-Gabarra · 38’|Michelle Akers · 39’|Mia Hamm · 63’,,
340,Japan,Sweden,0,8,,,14000,"New Plaza Stadium, Foshan",Group stage,1991-11-19,0–8,Gyanu Shrestha,China PR,1991,,Lena Videkull · 1’|Lena Videkull · 11’|Anneli Andelén · 15’|Malin Lundgren · 25’|Helen Nilsson · 27’|Pia Sundhage · 34’|Anneli Andelén · 60’,,
341,China PR,Denmark,2,2,,,27000,"Guangdong Provincial Stadium, Guangzhou",Group stage,1991-11-19,2–2,Vassilios Nikakis,China PR,1991,Sun Wen · 37’|Wei Haiying · 76’,Lisbet Kolding · 24’|Hanne Nissen · 55’,,
342,Germany,Nigeria,4,0,,,14000,"Jiangmen Stadium, Jiangmen",Group stage,1991-11-17,4–0,Rafael Rodriguez,China PR,1991,Silvia Neid · 16’|Heidi Mohr · 32’|Heidi Mohr · 34’|Gudrun Gottschlich · 57’,,,
343,Japan,Brazil,0,1,,,14000,"New Plaza Stadium, Foshan",Group stage,1991-11-17,0–1,Lu Jun,China PR,1991,,Elane Rego dos Santos · 4’,,
344,Chinese Taipei,Italy,0,5,,,11000,"Jiangmen Stadium, Jiangmen",Group stage,1991-11-17,0–5,Fathi Boucetta,China PR,1991,,Feriana Ferraguzzi · 15’|Adele Marsiletti · 29’|Carolina Morace · 37’|Carolina Morace · 52’|Carolina Morace · 66’,,
345,Sweden,United States,2,3,,,14000,"Ying Dong Stadium, Panyu",Group stage,1991-11-17,2–3,John Toro Rendón,China PR,1991,Lena Videkull · 65’|Ingrid Johansson · 71’,Carin Jennings-Gabarra · 40’|Carin Jennings-Gabarra · 49’|Mia Hamm · 62’,,
346,Denmark,New Zealand,3,0,,,14000,"Tianhe Stadium, Guangzhou",Group stage,1991-11-17,3–0,Omer Yengo,China PR,1991,Helle Jensen · 15’|Helle Jensen · 40’|Susan Mackensie · 42’,,,
347,China PR,Norway,4,0,,,65000,"Tianhe Stadium, Guangzhou",Group stage,1991-11-16,4–0,Salvador Imperatore Marcone,China PR,1991,Ma Li · 22’|Liu Ailing · 45’|Liu Ailing · 50’|Sun Qingmei · 75’,,,
