,home_team,away_team,home_score,away_score,home_manager,away_manager,Attendance,Venue,Round,Date,Score,Referee,Host,Year,home_goal,away_goal,home_penalty_goal,away_penalty_goal
196,Japan,New Zealand,2,1,,,0,"Vonovia Ruhrstadion, Bochum",Group stage,2011-06-27,2–1,Kirsi Heikkinen,Germany,2011,Yūki Nagasato · 6’|Aya Miyama · 68’,Amber Hearn · 12’,,
197,Mexico,England,1,1,,,0,"Volkswagen Arena, Wolfsburg",Group stage,2011-06-27,1–1,Silvia Reyes,Germany,2011,Mónica Ocampo · 33’,Fara Williams · 21’,,
198,Nigeria,France,0,1,,,0,"PreZero Arena, Sinsheim",Group stage,2011-06-26,0–1,Kari Seitz,Germany,2011,,Marie-Laure Delie · 56’,,
199,Germany,Canada,2,1,,,73680,"Olympiastadion Berlin, Berlin",Group stage,2011-06-26,2–1,Jacqui Melksham,Germany,2011,Kerstin Garefrekes · 10’|Célia Šašić · 42’,Christine Sinclair · 82’,,
200,Norway,United States,1,4,,,32068,"Hongkou Stadium, Shanghai",Third-place match,2007-09-30,1–4,Gyöngyi Gaál,China PR,2007,Ragnhild Gulbrandsen · 63’,Abby Wambach · 30’|Abby Wambach · 46’|Lori Chalupny · 58’|Heather O'Reilly · 59’,,
201,Germany,Brazil,2,0,,,31000,"Hongkou Stadium, Shanghai",Final,2007-09-30,2–0,Tammy Ogston,China PR,2007,Birgit Prinz · 52’|Simone Laudehr · 86’,,,
202,United States,Brazil,0,4,,,47818,"Yellow Dragon Stadium, Hangzhou",Semi-finals,2007-09-27,0–4,Nicole Petignat,China PR,2007,,Marta · 27’|Cristiane · 56’|Marta · 79’,,
203,Germany,Norway,3,0,,,53819,"Tianjin Olympic Centre Stadium, Tianjin",Semi-finals,2007-09-26,3–0,,China PR,2007,Kerstin Stegemann · 72’|Martina Müller · 75’,,,
204,Norway,China PR,1,0,,,52000,"Wuhan Stadium, Wuhan",Quarter-finals,2007-09-23,1–0,Gyöngyi Gaál,China PR,2007,Isabell Herlovsen · 32’,,,
205,Brazil,Australia,3,2,,,35061,"Tianjin Olympic Centre Stadium, Tianjin",Quarter-finals,2007-09-23,3–2,Christine Baitinger,China PR,2007,Formiga · 4’|Cristiane · 75’,Lisa De Vanna · 36’|Lauren Colthorpe · 68’,Marta (P) · 23’,
206,Germany,Korea DPR,3,0,,,37200,"Wuhan Stadium, Wuhan",Quarter-finals,2007-09-22,3–0,Tammy Ogston,China PR,2007,Kerstin Garefrekes · 44’|Renate Lingor · 67’|Annike Krahn · 72’,,,
207,United States,England,3,0,,,29586,"Tianjin Olympic Centre Stadium, Tianjin",Quarter-finals,2007-09-22,3–0,Jenny Palmqvist,China PR,2007,Abby Wambach · 48’|Shannon Boxx · 57’|Kristine Lilly · 60’,,,
